Dimension,Lambda_originale,Lambda_Benzecri,Inertie_Benzecri (%),Inertie_Greenacre (%),Cumul_Benzecri (%),Cumul_Greenacre (%)
1,0.6249999922482522,0.24999998966433634,16.359624862789488,0.0,16.359624862789488,0.0
2,0.5833333025593402,0.1975308277246518,12.92612149604658,0.0,29.285746358836068,0.0
3,0.5624999598591,0.17361106651011393,11.360848150224658,0.0,40.646594509060726,0.0
4,0.5499997664926336,0.15999975092557275,10.47014404599205,0.0,51.11673855505278,0.0
5,0.5416665898189802,0.15123448820734794,9.896558382702688,0.0,61.01329693775546,0.0
6,0.5357140874715454,0.1451245151639073,9.496730898522978,0.0,70.51002783627844,0.0
7,0.5312492530806584,0.14062425308165016,9.202240488548112,0.0,79.71226832482655,0.0
8,0.5277771798214501,0.13717362067477018,8.976436272349002,0.0,88.68870459717556,0.0
9,0.4722182994650392,0.08778839576379346,5.744741125509885,0.0,94.43344572268545,0.0
10,0.46874483758335733,0.08506542927887888,5.566554277314562,0.0,100.00000000000001,0.0
